name,platform,release_era,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Pokemon X/Pokemon Y,Others,post-2010,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,80.33333333333333,32.333333333333336,4.433333333333333,2291.6666666666665,missing,missing
Call of Duty: Black Ops II,PS3,post-2010,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Others,M
Call of Duty: Black Ops II,X360,post-2010,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Others,M
Call of Duty: Modern Warfare 2,X360,post-2010,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Others,M
Call of Duty: Modern Warfare 3,PS3,post-2010,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,Others,M
Grand Theft Auto III,PS2,post-2010,Action,Others,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,Others,M
Super Smash Bros. Brawl,Wii,post-2010,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Others,T
Mario Kart 7,Others,post-2010,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,Others,E
Call of Duty: Black Ops,PS3,post-2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Others,M
Grand Theft Auto V,Others,post-2010,Action,Others,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Others,M
Animal Crossing: Wild World,DS,post-2010,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Others,E
Halo 3,X360,post-2010,Shooter,Others,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,Others,M
Super Mario 64,Others,pre_2000s,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Pokemon HeartGold/Pokemon SoulSilver,DS,post-2010,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,82.33333333333333,62.0,7.933333333333333,279.3333333333333,missing,missing
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Others,post-2010,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,84.33333333333333,80.33333333333333,6.433333333333334,2833.3333333333335,missing,missing
Gran Turismo 4,PS2,post-2010,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Others,E
Super Mario Galaxy,Wii,post-2010,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Others,E
Super Mario Land 2: 6 Golden Coins,Others,pre_2000s,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,82.66666666666667,20.0,7.733333333333333,883.3333333333334,missing,missing
Grand Theft Auto IV,X360,post-2010,Action,Others,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Others,M
Gran Turismo,PS,pre_2000s,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Others,E
Super Mario 3D Land,Others,post-2010,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Others,E
Gran Turismo 5,PS3,post-2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Others,E
Call of Duty: Modern Warfare 2,PS3,post-2010,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Others,M
Super Mario All-Stars,Others,pre_2000s,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,82.66666666666667,20.0,7.733333333333333,883.3333333333334,missing,missing
Grand Theft Auto IV,PS3,post-2010,Action,Others,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Others,M
Pokemon FireRed/Pokemon LeafGreen,Others,post-2010,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
Super Mario 64,DS,post-2010,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,88.66666666666667,64.33333333333333,8.700000000000001,664.0,missing,missing
Call of Duty: Ghosts,X360,post-2010,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Others,M
Just Dance 3,Wii,post-2010,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+
New Super Mario Bros. 2,Others,post-2010,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Others,E
Mario Kart 64,Others,pre_2000s,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Halo: Reach,X360,post-2010,Shooter,Others,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Others,M
Final Fantasy VII,PS,pre_2000s,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,Others,T
Halo 4,X360,post-2010,Shooter,Others,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,Others,M
Gran Turismo 2,PS,pre_2000s,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Others,T
Just Dance 2,Wii,post-2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+
Call of Duty: Ghosts,PS3,post-2010,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Others,M
Call of Duty 4: Modern Warfare,X360,post-2010,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Others,M
Donkey Kong Country,Others,pre_2000s,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,85.0,10.333333333333334,7.466666666666666,300.6666666666667,missing,missing
Minecraft,X360,post-2010,Misc,Others,5.7,2.65,0.02,0.81,9.18,80.33333333333333,32.333333333333336,4.433333333333333,2291.6666666666665,missing,missing
Animal Crossing: New Leaf,Others,post-2010,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Others,E
Mario Party DS,DS,post-2010,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Others,E
The Elder Scrolls V: Skyrim,X360,post-2010,Role-Playing,Others,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Others,M
Super Mario Kart,Others,pre_2000s,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,82.66666666666667,20.0,7.733333333333333,883.3333333333334,missing,missing
FIFA 16,Others,post-2010,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E
Halo 2,XB,post-2010,Shooter,Others,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Others,M
Wii Party,Wii,post-2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Others,E
Mario Party 8,Wii,post-2010,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Others,E
FIFA Soccer 13,PS3,post-2010,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E
GoldenEye 007,Others,pre_2000s,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,91.0,16.333333333333332,9.0,1527.0,missing,missing
Pokemon Black 2/Pokemon White 2,DS,post-2010,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,81.33333333333333,54.666666666666664,5.766666666666667,1200.6666666666667,missing,missing
Final Fantasy X,PS2,post-2010,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,Others,T
The Sims 3,PC,post-2010,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,Others,T
Mario & Sonic at the Olympic Games,Wii,post-2010,Sports,Sega,2.57,3.86,0.66,0.91,7.99,76.0,51.333333333333336,7.3,1458.3333333333333,missing,missing
Star Wars Battlefront (2015),Others,post-2010,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
Final Fantasy VIII,PS,pre_2000s,Role-Playing,Others,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,Others,T
Pac-Man,Others,pre_2000s,Puzzle,Others,7.28,0.45,0.0,0.08,7.81,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Pokémon Platinum Version,DS,post-2010,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Others,E
Grand Theft Auto: Liberty City Stories,PSP,post-2010,Action,Others,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Others,M
Call of Duty: Advanced Warfare,Others,post-2010,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Others,M
The Legend of Zelda: Ocarina of Time,Others,pre_2000s,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,83.0,13.333333333333334,8.5,193.0,missing,missing
FIFA 17,Others,post-2010,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,Others,E
Crash Bandicoot 2: Cortex Strikes Back,PS,pre_2000s,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,91.0,16.333333333333332,9.0,1527.0,missing,missing
Super Smash Bros. for Wii U and 3DS,Others,post-2010,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,84.33333333333333,80.33333333333333,6.433333333333334,2833.3333333333335,missing,missing
Super Mario Galaxy 2,Wii,post-2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Others,E
Super Mario Bros. 2,Others,pre_2000s,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Call of Duty: Black Ops 3,Others,post-2010,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
Call of Duty: World at War,X360,post-2010,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Others,M
Battlefield 3,X360,post-2010,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,Others,M
Need for Speed Underground,PS2,post-2010,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,Others,E
Just Dance,Wii,post-2010,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Others,E10+
Battlefield 3,PS3,post-2010,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,Others,M
Fallout 4,Others,post-2010,Role-Playing,Others,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Others,M
Tekken 3,PS,pre_2000s,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Others,T
The Legend of Zelda: Twilight Princess,Wii,post-2010,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Others,T
Pokemon Sun/Moon,Others,post-2010,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,86.0,72.66666666666667,6.633333333333333,3227.0,missing,missing
Crash Bandicoot 3: Warped,PS,pre_2000s,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Others,E
Mario Kart 8,Others,post-2010,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Others,E
Super Smash Bros. Melee,Others,post-2010,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,Others,T
Mario Kart: Double Dash!!,Others,post-2010,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,77.66666666666667,31.666666666666668,7.8999999999999995,97.66666666666667,missing,missing
Need for Speed Underground 2,PS2,post-2010,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E
Medal of Honor: Frontline,PS2,post-2010,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,Others,T
Crash Bandicoot,PS,pre_2000s,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Just Dance 4,Wii,post-2010,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+
Gears of War 2,X360,post-2010,Shooter,Others,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Others,M
Uncharted 3: Drake's Deception,PS3,post-2010,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Others,T
Zumba Fitness,Wii,post-2010,Sports,Others,3.45,2.59,0.0,0.66,6.71,78.66666666666667,64.0,6.333333333333333,884.6666666666666,Others,E
Call of Duty 4: Modern Warfare,PS3,post-2010,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Others,M
Uncharted 2: Among Thieves,PS3,post-2010,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Others,T
FIFA 12,PS3,post-2010,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,83.33333333333333,45.0,4.8,4654.333333333333,missing,missing
Big Brain Academy,DS,post-2010,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Others,E
The Legend of Zelda,Others,pre_2000s,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Red Dead Redemption,PS3,post-2010,Action,Others,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Others,M
FIFA 14,PS3,post-2010,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E
Assassin's Creed III,PS3,post-2010,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M
Donkey Kong Country Returns,Wii,post-2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Others,E
Halo: Combat Evolved,XB,post-2010,Shooter,Others,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Others,M
The Elder Scrolls V: Skyrim,PS3,post-2010,Role-Playing,Others,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Others,M
Pokémon Emerald Version,Others,post-2010,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Others,E
Kingdom Hearts,PS2,post-2010,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,Others,E
Pokémon Crystal Version,Others,2000-2010,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,90.0,20.666666666666668,8.733333333333333,367.6666666666667,missing,missing
Halo 3: ODST,X360,post-2010,Shooter,Others,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,Others,M
Red Dead Redemption,X360,post-2010,Action,Others,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Others,M
Super Mario Sunshine,Others,post-2010,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Others,E
Street Fighter II: The World Warrior,Others,pre_2000s,Fighting,Others,2.47,0.83,2.87,0.12,6.3,82.66666666666667,20.0,7.733333333333333,883.3333333333334,missing,missing
World of Warcraft,PC,post-2010,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Others,T
Driver,PS,pre_2000s,Action,Others,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Others,T
Gears of War 3,X360,post-2010,Shooter,Others,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Others,M
Kinect Sports,X360,post-2010,Sports,Others,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Others,E10+
Gears of War,X360,post-2010,Shooter,Others,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Others,M
FIFA 15,Others,post-2010,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,post-2010,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,Others,M
Sonic the Hedgehog 2,Others,pre_2000s,Platform,Sega,4.47,1.2,0.16,0.19,6.03,82.66666666666667,20.0,7.733333333333333,883.3333333333334,missing,missing
Metal Gear Solid,PS,pre_2000s,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,Others,M
Metal Gear Solid 4: Guns of the Patriots,PS3,post-2010,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Others,M
Final Fantasy XII,PS2,post-2010,Role-Playing,Others,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Others,T
The Last of Us,PS3,post-2010,Action,Others,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Others,M
LittleBigPlanet,PS3,post-2010,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,Others,E
Resident Evil 2,PS,pre_2000s,Action,Others,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,post-2010,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Others,E10+
Tekken 2,PS,pre_2000s,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Others,T
Destiny,Others,post-2010,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,Others,T
LEGO Star Wars: The Complete Saga,Wii,post-2010,Action,Others,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Others,E10+
Cooking Mama,DS,post-2010,Simulation,Others,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Others,E
Tetris,Others,pre_2000s,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Super Smash Bros.,Others,pre_2000s,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Assassin's Creed II,PS3,post-2010,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M
Assassin's Creed,X360,post-2010,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M
Forza Motorsport 3,X360,post-2010,Racing,Others,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Others,E
Super Mario Advance,Others,post-2010,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Others,E
Monster Hunter Freedom Unite,PSP,post-2010,Role-Playing,Others,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,T
Batman: Arkham City,PS3,post-2010,Action,Others,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Others,T
Grand Theft Auto V,Others,post-2010,Action,Others,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Others,M
Mario Kart: Super Circuit,Others,post-2010,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Others,E
Super Mario World,Others,post-2010,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,93.66666666666667,49.0,8.766666666666666,762.6666666666666,missing,missing
Pokemon Stadium,Others,pre_2000s,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Crash Bandicoot: The Wrath of Cortex,PS2,post-2010,Platform,Others,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Others,E
Call of Duty: World at War,PS3,post-2010,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Others,M
Uncharted 4: A Thief's End,Others,post-2010,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Others,T
Dr. Mario,Others,pre_2000s,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Final Fantasy XIII,PS3,post-2010,Role-Playing,Others,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Others,T
Pokemon Pinball,Others,pre_2000s,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Final Fantasy IX,PS,2000-2010,Role-Playing,Others,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,Others,T
Assassin's Creed III,X360,post-2010,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M
Final Fantasy X-2,PS2,post-2010,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,Others,T
Donkey Kong 64,Others,pre_2000s,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Call of Duty: Advanced Warfare,Others,post-2010,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Others,M
